,temp,hum,heat,dewPoint,tiempo
90,22.6000004,15.442241000000001,22.5864391,64.0,1595623140000
91,102.5,90.48779329999999,788.5324707000001,64.0,1595623200000
92,22.3999996,15.252866199999998,22.3664436,64.0,1595623260000
93,22.3999996,15.252866199999998,22.3664436,64.0,1595623320000
94,22.2999992,15.158176000000001,22.256443,64.0,1595623380000
95,22.3999996,15.252866199999998,22.3664436,64.0,1595623440000
96,21.5,16.0175496,21.559228899999997,71.0,1595625480000
97,21.6000004,14.972902300000001,21.5386715,66.0,1595625540000
98,21.5,14.8778453,21.428674700000002,66.0,1595625600000
99,21.3999996,14.7827864,21.318672199999998,66.0,1595625660000
100,21.2999992,14.6877258,21.2086735,66.0,1595625720000
101,21.2999992,14.6877258,21.2086735,66.0,1595625780000
102,21.2999992,14.6877258,21.2086735,66.0,1595625840000
103,21.3999996,14.7827864,21.318672199999998,66.0,1595625900000
104,21.6000004,14.972902300000001,21.5386715,66.0,1595625960000
105,21.6000004,14.972902300000001,21.5386715,66.0,1595626020000
106,21.6000004,14.972902300000001,21.5386715,66.0,1595626080000
107,21.6000004,14.972902300000001,21.5386715,66.0,1595626140000
108,21.6000004,14.972902300000001,21.5386715,66.0,1595626200000
109,21.6000004,14.972902300000001,21.5386715,66.0,1595626260000
110,21.6000004,14.735714000000002,21.5125618,65.0,1595626320000
111,21.7999992,14.9254715,21.7325573,65.0,1595626380000
112,21.7999992,14.9254715,21.7325573,65.0,1595626440000
113,21.7999992,14.9254715,21.7325573,65.0,1595626500000
114,21.7999992,14.9254715,21.7325573,65.0,1595626560000
115,21.7999992,14.9254715,21.7325573,65.0,1595626620000
116,21.7999992,14.9254715,21.7325573,65.0,1595626680000
117,21.7999992,14.9254715,21.7325573,65.0,1595626740000
118,21.8999996,15.0203484,21.8425598,65.0,1595626800000
119,21.7999992,14.9254715,21.7325573,65.0,1595626860000
120,21.7999992,14.9254715,21.7325573,65.0,1595626920000
121,21.7999992,14.9254715,21.7325573,65.0,1595626980000
122,21.7999992,14.6846976,21.706449499999998,64.0,1595627040000
123,21.8999996,14.7793975,21.816446300000003,64.0,1595627100000
124,21.7999992,14.6846976,21.706449499999998,64.0,1595627160000
125,21.7999992,14.6846976,21.706449499999998,64.0,1595627220000
126,21.7999992,14.6846976,21.706449499999998,64.0,1595627280000
127,21.7999992,14.6846976,21.706449499999998,64.0,1595627340000
128,21.7999992,14.6846976,21.706449499999998,64.0,1595627400000
129,21.7999992,14.6846976,21.706449499999998,64.0,1595627460000
130,21.8999996,14.7793975,21.816446300000003,64.0,1595627520000
131,21.8999996,14.7793975,21.816446300000003,64.0,1595627580000
132,21.7999992,14.6846976,21.706449499999998,64.0,1595627640000
133,21.7999992,14.6846976,21.706449499999998,64.0,1595627700000
134,21.7999992,14.6846976,21.706449499999998,64.0,1595627760000
135,21.7999992,14.6846976,21.706449499999998,64.0,1595627820000
136,21.7999992,14.6846976,21.706449499999998,64.0,1595627880000
137,21.7999992,14.6846976,21.706449499999998,64.0,1595627940000
138,21.7999992,14.6846976,21.706449499999998,64.0,1595628000000
139,21.7999992,14.6846976,21.706449499999998,64.0,1595628060000
140,21.7999992,14.6846976,21.706449499999998,64.0,1595628120000
141,21.8999996,14.7793975,21.816446300000003,64.0,1595628180000
